student_id,student_name,age,nationality,education,school,field_of_interest,course_id,course_name,session,course_rating,difficulty_level,modes_of_learning
3175,student 1,14,UK,High school/College (14+),Suchitran,Art,0,Robotics Innovative Learning,24,5,Applied Tech,Online
3508,student 2,14,Poland,High school/College (14+),Indian School Bahrain,Mathematics,0,Robotics Innovative Learning,96,5,Beginner,Online
861,student 3,14,China,High school/College (14+),"Indian School Muscat, Oman",Music,1,Robotics,48,1,Proficiency,In-person
1295,student 4,14,Palestine,High school/College (14+),International school of Choueifat,Music,2,Python Programming,48,5,Proficiency,Online
1131,student 5,14,United States,High school/College (14+),AUH,Technology,2,Python Programming,48,4,Applied Tech,In-person
1096,student 6,14,Armenia,High school/College (14+),Belvedere British School,Mathematics,3,Artificial Intelligence,48,4,Proficiency,In-person
3773,student 7,14,Venezuela,High school/College (14+),Akg public school,Mathematics,0,Robotics Innovative Learning,48,3,Proficiency,Online
3093,student 8,5,Qatar,Elementary school (5-9),Facebook,Sports,4,Technology Innovative Learning,48,5,Proficiency,Hybrid
1639,student 9,14,India,High school/College (14+),Summit International School,Art,2,Python Programming,8,4,Beginner,In-person
2170,student 10,14,India,High school/College (14+),Saad ebn abi waqas,Art,0,Robotics Innovative Learning,48,3,Proficiency,In-person
467,student 11,7,Canada,Elementary school (5-9),"Middle East International School, Doha,Qatar",Sports,5,Game and App Development,48,5,Beginner,Hybrid
1239,student 12,14,Cook Islands,High school/College (14+),GEMS Heritage  Indian School,Science,0,Robotics Innovative Learning,24,1,Beginner,In-person
331,student 13,5,Venezuela,Elementary school (5-9),twak.to,Science,4,Technology Innovative Learning,24,3,Proficiency,Online
1483,student 14,14,Bahrain,High school/College (14+),Raffles World Academy,Sports,3,Artificial Intelligence,96,5,Applied Tech,Online
2136,student 15,10,Egypt,Middle school (10-13),Al Diyafah High School,Science,5,Game and App Development,48,4,Proficiency,In-person
3445,student 16,14,Uruguay,High school/College (14+),Learning Oasis International School,Sports,0,Robotics Innovative Learning,48,5,Beginner,Hybrid
3172,student 17,5,Iran (Islamic Republic of),Elementary school (5-9),Facebook,Sports,4,Technology Innovative Learning,48,4,Applied Tech,In-person
2920,student 18,5,Korea,Elementary school (5-9),Facebook,Art,4,Technology Innovative Learning,24,1,Proficiency,Online
3736,student 19,5,Palestine,Elementary school (5-9),Facebook,Technology,4,Technology Innovative Learning,24,5,Applied Tech,Hybrid
131,student 20,5,Oman,Elementary school (5-9),other,Sports,4,Technology Innovative Learning,48,1,Beginner,Online
1686,student 21,14,Malaysia,High school/College (14+),Rani Laxmi Bai Inter College,Mathematics,6,Graphic Designing & Animation,48,4,Beginner,In-person
3381,student 23,14,United Arab Emirates,High school/College (14+),Al Manar International school,Music,2,Python Programming,8,3,Proficiency,Hybrid
770,student 24,14,Kuwait,High school/College (14+),Oaktree Primary School,Music,7,Virtual Reality,48,1,Proficiency,In-person
2392,student 26,14,Cook Islands,High school/College (14+),Al Diyafah High School,Art,0,Robotics Innovative Learning,96,4,Beginner,Hybrid
1516,student 27,14,Nigeria,High school/College (14+),philippine School,Art,8,Drone Technology,48,5,Proficiency,Hybrid
3486,student 28,14,Syria,High school/College (14+),"DPS, Doha",Technology,0,Robotics Innovative Learning,24,4,Intermediate,In-person
2854,student 29,6,Malaysia,Elementary school (5-9),Our Own High School,Art,3,Artificial Intelligence,24,3,Beginner,In-person
2434,student 30,14,India,High school/College (14+),Akg public school,Sports,1,Robotics,24,5,Beginner,Hybrid
1216,student 31,14,Palestine,High school/College (14+),AlRaja School,Technology,0,Robotics Innovative Learning,24,1,Proficiency,In-person
956,student 32,14,Cook Islands,High school/College (14+),St marys icse,Technology,0,Robotics Innovative Learning,48,4,Intermediate,In-person
2325,student 33,14,New Zealand,High school/College (14+),GEMS Modern Academy,Science,3,Artificial Intelligence,48,5,Proficiency,Hybrid
1185,student 34,14,Malaysia,High school/College (14+),Manipal Academy of Higher Education,Technology,5,Game and App Development,48,5,Applied Tech,Online
460,student 35,14,USA,High school/College (14+),Repton SchoolGems Founders,Sports,9,Artificial Intelligence for Non Programmers,24,5,Applied Tech,Hybrid
3386,student 36,11,Venezuela,Middle school (10-13),GEMS Winchester School,Science,0,Robotics Innovative Learning,48,1,Applied Tech,Hybrid
22,student 38,14,Ireland,High school/College (14+),Regent International Private School,Science,3,Artificial Intelligence,48,5,Intermediate,Online
2301,student 39,14,China,High school/College (14+),Oaktree Primary School,Sports,3,Artificial Intelligence,48,4,Beginner,In-person
748,student 40,14,Uruguay,High school/College (14+),Cambridge International School Private,Mathematics,1,Robotics,48,4,Proficiency,Hybrid
2905,student 41,14,Korea,High school/College (14+),GEMS Wellington International School,Technology,5,Game and App Development,48,1,Beginner,Online
3633,student 42,14,Cameroon,High school/College (14+),Dubai English Speaking School,Mathematics,10,LEGO Robotics,48,3,Beginner,Online
475,student 44,14,Bahrain,High school/College (14+),Gravi,Music,0,Robotics Innovative Learning,48,4,Applied Tech,In-person
1083,student 45,14,Uruguay,High school/College (14+),GEMS International School- Al Khail,Mathematics,1,Robotics,48,1,Applied Tech,Online
2559,student 46,14,Armenia,High school/College (14+),Wesgreen International School,Sports,11,VEX Robotics,24,5,Proficiency,Hybrid
3754,student 47,12,UAE,Middle school (10-13),GEMOOSH,Music,3,Artificial Intelligence,48,1,Proficiency,In-person
2048,student 48,14,Srilanka,High school/College (14+),MAHE Dubai,Science,10,LEGO Robotics,24,5,Beginner,In-person
3548,student 49,14,Ireland,High school/College (14+),"Amity School, Sharjah",Mathematics,2,Python Programming,96,4,Applied Tech,Hybrid
2748,student 50,14,Palestine,High school/College (14+),Sharjah Private International School,Music,12,Young App Developer,96,4,Beginner,In-person
976,student 51,7,Uruguay,Elementary school (5-9),GEMS Winchester School,Sports,5,Game and App Development,24,4,Proficiency,Hybrid
1807,student 52,14,Pakistan,High school/College (14+),Carmel School Kuwait,Art,13,Scratch Coding,8,1,Proficiency,In-person
190,student 53,14,India,High school/College (14+),Ambassador International Academy,Art,14,Data Analysis with Python,8,5,Beginner,In-person
3006,student 54,14,Ireland,High school/College (14+),"GD Goenka Public School, Agra, India",Science,15,Game Development with Unity,96,5,Applied Tech,Hybrid
2735,student 55,14,Malaysia,High school/College (14+),Al Manar International school,Sports,3,Artificial Intelligence,24,5,Intermediate,In-person
3006,student 56,14,IndiaSpain,High school/College (14+),University of Wollongong,Sports,16,3D Designing & Modelling,48,5,Proficiency,Hybrid
563,student 57,14,Armenia,High school/College (14+),Victory Heights Primary School,Science,16,3D Designing & Modelling,48,4,Intermediate,In-person
1900,student 58,14,Poland,High school/College (14+),Dubai English Speaking private college,Mathematics,2,Python Programming,24,1,Proficiency,In-person
3639,student 59,14,Turkey,High school/College (14+),Mayoor Private school  abudhabi,Technology,0,Robotics Innovative Learning,24,5,Applied Tech,Online
1268,student 60,14,Bosnia and Herzegovina,High school/College (14+),Jumeirah English Speaking School (Br),Science,10,LEGO Robotics,24,4,Proficiency,Online
2880,student 61,14,Korea,High school/College (14+),Al Watania,Art,7,Virtual Reality,96,4,Intermediate,Hybrid
1529,student 62,14,India,High school/College (14+),Cambridge International School Private,Science,10,LEGO Robotics,96,5,Intermediate,Hybrid
3203,student 63,8,Saudi Arabia,Elementary school (5-9),Apple International School,Sports,5,Game and App Development,24,5,Proficiency,Hybrid
3557,student 64,14,Poland,High school/College (14+),Advanced Learning Schools Riyadh,Music,6,Graphic Designing & Animation,24,5,Applied Tech,In-person
3891,student 65,6,USA,Elementary school (5-9),International school of Choueifat,Sports,4,Technology Innovative Learning,96,3,Beginner,Online
647,student 66,14,Armenia,High school/College (14+),BISES,Science,10,LEGO Robotics,96,5,Applied Tech,In-person
2069,student 67,7,Iran (Islamic Republic of),Elementary school (5-9),Al Naseem International School,Sports,0,Robotics Innovative Learning,24,3,Applied Tech,In-person
2889,student 68,14,Srilanka,High school/College (14+),GEMS Wellington International School,Technology,7,Virtual Reality,48,3,Applied Tech,Online
2215,student 69,14,Canada,High school/College (14+),Belvedere British School,Art,0,Robotics Innovative Learning,96,4,Proficiency,In-person
