Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 1,Robotics Innovative Learning,UK,Suchitran,Female,10,Online,24,Art,Applied Tech,Robotics Innovative Learning,5
student 2,Robotics Innovative Learning,Poland,Indian School Bahrain,Male,10,Online,96,Mathematics,Beginner,Robotics Innovative Learning,5
student 3,Spring Camps,China,"Indian School Muscat, Oman",Male,10,In-person,48,Music,Proficiency,Python,1
student 4,Python Programming,Palestine,International school of Choueifat,Female,10,Online,48,Music,Proficiency,Technology Innovative Learning,5
student 5,Python Coding,United States,AUH,Female,10,In-person,48,Technology,Applied Tech,Robotics Innovative Learning,4
student 6,Artificial Intelligence,Armenia,Belvedere British School,Female,10,In-person,48,Mathematics,Proficiency,Graphics Designing,4
student 7,Robotics Innovative Learning,Venezuela,Akg public school,Female,10,Online,48,Mathematics,Proficiency,Python,3
student 8,Technology Innovative Learning,Qatar,Facebook,Female,1,Hybrid,48,Sports,Proficiency,AI,5
student 9,Python Programming,India,Summit International School,Male,10,In-person,8,Art,Beginner,Coding for kids,4
student 10,Robotics Innovative Learning,India,Saad ebn abi waqas,Male,10,In-person,48,Art,Proficiency,Coding for kids,3
student 11,Gulf News - Game and App Development,Canada,"Middle East International School, Doha,Qatar",Female,3,Hybrid,48,Sports,Beginner,Python,5
student 12,Robotics Innovative Learning,Cook Islands,GEMS Heritage  Indian School,Female,10,In-person,24,Science,Beginner,3D Designing,1
student 13,Technology Innovative Learning,Venezuela,twak.to,Male,1,Online,24,Science,Proficiency,Game Development,3
student 14,Artificial Intelligence,Bahrain,Raffles World Academy,Male,10,Online,96,Sports,Applied Tech,AI,5
student 15,Gulf News - Game and App Development,Egypt,Al Diyafah High School,Male,6,In-person,48,Science,Proficiency,AI,4
student 16,Robotics Innovative Learning,Uruguay,Learning Oasis International School,Male,10,Hybrid,48,Sports,Beginner,AI,5
student 17,Technology Innovative Learning,Iran (Islamic Republic of),Facebook,Male,1,In-person,48,Sports,Applied Tech,Python,4
student 18,Technology Innovative Learning,Korea,Facebook,Male,1,Online,24,Art,Proficiency,AI,1
student 19,Technology Innovative Learning,Palestine,Facebook,Male,1,Hybrid,24,Technology,Applied Tech,AI,5
student 20,Technology Innovative Learning,Oman,other,Male,1,Online,48,Sports,Beginner,Python,1
student 21,Graphic Designing & Animation,Malaysia,Rani Laxmi Bai Inter College,Female,10,In-person,48,Mathematics,Beginner,Game Development,4
student 22,Public Speaking & Entrepreneurship,United States,Repton SchoolGems Founders,Male,10,In-person,48,Mathematics,Beginner,Graphics Designing,1
student 23,Python Programming,United Arab Emirates,Al Manar International school,Male,10,Hybrid,8,Music,Proficiency,Robotics Innovative Learning,3
student 24,Gulf News - Metaverse,Kuwait,Oaktree Primary School,Female,10,In-person,48,Music,Proficiency,App Development,1
student 25,World Robot Olympiad (WRO),India,Emirates International School (Meadows),Female,5,Online,48,Music,Proficiency,AI,5
student 26,Robotics Innovative Learning,Cook Islands,Al Diyafah High School,Female,10,Hybrid,96,Art,Beginner,Coding for kids,4
student 27,Drone Technology,Nigeria,philippine School,Male,10,Hybrid,48,Art,Proficiency,Game Development,5
student 28,Gulf News - Robotics Innovative Learning,Syria,"DPS, Doha",Female,10,In-person,24,Technology,Intermediate,Coding for kids,4
student 29,Gulf News - Artificial Intelligence,Malaysia,Our Own High School,Male,2,In-person,24,Art,Beginner,3D Designing,3
student 30,Spring Camps,India,Akg public school,Female,10,Hybrid,24,Sports,Beginner,App Development,5
student 31,Robotics Innovative Learning,Palestine,AlRaja School,Male,10,In-person,24,Technology,Proficiency,3D Designing,1
student 32,Robotics Innovative Learning,Cook Islands,St marys icse,Female,10,In-person,48,Technology,Intermediate,App Development,4
student 33,Artificial Intelligence,New Zealand,GEMS Modern Academy,Male,10,Hybrid,48,Science,Proficiency,Robotics Innovative Learning,5
student 34,Gulf News - Game and App Development,Malaysia,Manipal Academy of Higher Education,Male,10,Online,48,Technology,Applied Tech,Game Development,5
student 35,Artificial Intelligence for Non Programmers,USA,Repton SchoolGems Founders,Male,10,Hybrid,24,Sports,Applied Tech,App Development,5
student 36,Gulf News - Robotics Innovative Learning,Venezuela,GEMS Winchester School,Male,7,Hybrid,48,Science,Applied Tech,AI,1
student 37,World Robot Olympiad (WRO),India,Sacred heart school,Female,6,Online,8,Art,Applied Tech,AI,4
student 38,Mid Term Program,Ireland,Regent International Private School,Female,10,Online,48,Science,Intermediate,Coding for kids,5
