student_id,student_name,age,nationality,gender,education,school,field_of_interest,course_id,course_name,session,course_rating,difficulty_level,modes_of_learning,course_recommended
1545,student 1,14,UK,Female,High school/College (14+),Suchitran,Art,0,Robotics Innovative Learning,24,5,Applied Tech,Online,Robotics Innovative Learning
2841,student 2,14,Poland,Male,High school/College (14+),Indian School Bahrain,Mathematics,0,Robotics Innovative Learning,96,5,Beginner,Online,Robotics Innovative Learning
1860,student 3,14,China,Male,High school/College (14+),"Indian School Muscat, Oman",Music,1,Robotics,48,1,Proficiency,In-person,Python
80,student 4,14,Palestine,Female,High school/College (14+),International school of Choueifat,Music,2,Python Programming,48,5,Proficiency,Online,Technology Innovative Learning
1931,student 5,14,United States,Female,High school/College (14+),AUH,Technology,2,Python Programming,48,4,Applied Tech,In-person,Robotics Innovative Learning
351,student 6,14,Armenia,Female,High school/College (14+),Belvedere British School,Mathematics,3,Artificial Intelligence,48,4,Proficiency,In-person,Graphics Designing
1973,student 7,14,Venezuela,Female,High school/College (14+),Akg public school,Mathematics,0,Robotics Innovative Learning,48,3,Proficiency,Online,Python
1891,student 8,5,Qatar,Female,Elementary school (5-9),Facebook,Sports,4,Technology Innovative Learning,48,5,Proficiency,Hybrid,AI
54,student 9,14,India,Male,High school/College (14+),Summit International School,Art,2,Python Programming,8,4,Beginner,In-person,Coding for kids
1603,student 10,14,India,Male,High school/College (14+),Saad ebn abi waqas,Art,0,Robotics Innovative Learning,48,3,Proficiency,In-person,Coding for kids
1551,student 11,7,Canada,Female,Elementary school (5-9),"Middle East International School, Doha,Qatar",Sports,5,Game and App Development,48,5,Beginner,Hybrid,Python
803,student 12,14,Cook Islands,Female,High school/College (14+),GEMS Heritage  Indian School,Science,0,Robotics Innovative Learning,24,1,Beginner,In-person,3D Designing
1010,student 13,5,Venezuela,Male,Elementary school (5-9),twak.to,Science,4,Technology Innovative Learning,24,3,Proficiency,Online,Game Development
2801,student 14,14,Bahrain,Male,High school/College (14+),Raffles World Academy,Sports,3,Artificial Intelligence,96,5,Applied Tech,Online,AI
281,student 15,10,Egypt,Male,Middle school (10-13),Al Diyafah High School,Science,5,Game and App Development,48,4,Proficiency,In-person,AI
1680,student 16,14,Uruguay,Male,High school/College (14+),Learning Oasis International School,Sports,0,Robotics Innovative Learning,48,5,Beginner,Hybrid,AI
1900,student 17,5,Iran (Islamic Republic of),Male,Elementary school (5-9),Facebook,Sports,4,Technology Innovative Learning,48,4,Applied Tech,In-person,Python
1341,student 18,5,Korea,Male,Elementary school (5-9),Facebook,Art,4,Technology Innovative Learning,24,1,Proficiency,Online,AI
2961,student 19,5,Palestine,Male,Elementary school (5-9),Facebook,Technology,4,Technology Innovative Learning,24,5,Applied Tech,Hybrid,AI
1532,student 20,5,Oman,Male,Elementary school (5-9),other,Sports,4,Technology Innovative Learning,48,1,Beginner,Online,Python
1674,student 21,14,Malaysia,Female,High school/College (14+),Rani Laxmi Bai Inter College,Mathematics,6,Graphic Designing & Animation,48,4,Beginner,In-person,Game Development
